epoch	b	wa
1784718496	2	10
1784718497	2	10
1784718498	2	9
1784718499	2	9
1784718500	2	10
1784718501	2	10
1784718502	1	10
1784718503	2	10
1784718504	2	10
1784718505	2	10
1784718506	2	10
1784718507	2	10
1784718508	3	9
1784718509	2	10
1784718510	2	10
1784718511	2	10
1784718512	2	10
1784718513	2	10
1784718514	2	10
1784718515	1	10
1784718516	2	10
1784718517	2	9
1784718518	2	10
1784718519	2	9
1784718520	3	9
1784718521	2	9
1784718522	2	10
1784718523	2	9
1784718524	2	10
1784718525	1	9
1784718526	2	10
1784718527	2	12
1784718528	2	9
1784718529	2	10
1784718530	2	10
1784718531	2	9
1784718533	2	10
1784718534	2	10
1784718535	1	10
1784718536	2	11
1784718537	2	10
1784718538	2	9
1784718539	2	10
1784718540	2	10
1784718541	2	10
1784718542	3	12
1784718543	3	14
1784718544	2	10
1784718545	2	10
1784718546	2	10
1784718547	2	10
1784718548	2	9
1784718549	2	10
1784718550	2	10
1784718551	2	10
1784718552	2	9
1784718553	1	10
1784718554	3	11
1784718555	3	13
1784718556	1	11
1784718557	1	10
1784718558	3	10
1784718559	2	10
1784718560	2	10
1784718561	2	10
1784718562	2	9
1784718563	2	10
1784718564	2	9
1784718565	2	10
1784718566	2	9
1784718567	3	9
1784718568	1	12
1784718569	2	10
1784718570	2	10
1784718571	2	9
1784718572	2	11
1784718573	2	11
1784718574	3	10
1784718575	2	12
1784718576	2	10
1784718577	2	10
1784718578	2	10
1784718579	2	10
1784718580	1	10
1784718581	2	10
1784718582	1	10
1784718583	2	9
1784718584	2	9
1784718585	1	9
1784718586	1	9
1784718587	2	9
1784718588	2	10
1784718589	2	10
1784718590	2	10
1784718591	3	12
1784718592	2	11
1784718593	2	10
1784718594	2	9
1784718595	2	10
1784718596	2	10
1784718597	2	10
1784718598	2	10
1784718599	2	10
1784718600	2	9
1784718601	2	11
1784718602	2	10
1784718603	2	10
1784718604	2	10
1784718605	2	10
1784718606	2	9
1784718607	2	9
1784718608	2	8
1784718609	2	9
1784718610	2	8
1784718611	3	12
1784718612	2	10
1784718613	2	10
1784718614	3	14
1784718615	2	13
1784718616	2	9
1784718617	2	10
1784718618	2	10
1784718619	2	9
1784718621	3	11
1784718622	2	10
1784718623	2	10
1784718624	2	9
1784718625	2	10
1784718626	2	10
1784718627	2	10
1784718628	3	15
1784718629	2	10
1784718630	2	10
1784718631	1	10
1784718632	2	10
1784718633	2	9
1784718634	2	10
1784718635	1	10
1784718636	2	11
1784718637	2	10
1784718638	2	10
1784718639	2	9
1784718640	2	9
1784718641	2	10
1784718642	2	10
1784718643	2	9
1784718644	2	10
1784718645	2	10
1784718646	2	10
1784718647	2	11
1784718648	2	8
1784718649	2	10
1784718650	2	9
1784718651	2	10
1784718652	2	10
1784718653	2	10
1784718654	2	10
1784718655	2	10
1784718656	2	12
1784718657	2	9
1784718658	1	10
1784718659	2	8
1784718660	2	10
1784718661	1	10
1784718662	2	10
1784718663	2	10
1784718664	2	10
1784718665	2	9
1784718666	3	11
1784718667	2	12
1784718668	2	10
1784718669	2	10
1784718670	1	10
1784718671	2	10
1784718672	2	10
1784718673	2	10
1784718674	3	13
1784718675	2	12
1784718676	2	9
1784718677	2	9
1784718678	2	9
1784718679	2	9
1784718680	3	10
1784718681	2	10
1784718682	2	9
1784718683	3	11
1784718684	2	12
1784718685	2	9
1784718686	2	10
1784718687	2	11
1784718688	2	9
1784718689	2	9
1784718690	2	10
1784718691	2	9
1784718692	2	9
1784718693	2	10
1784718694	2	9
1784718695	3	10
1784718696	2	10
1784718697	2	9
1784718698	2	10
1784718699	2	9
1784718700	2	10
1784718701	2	10
1784718702	1	8
1784718704	1	9
1784718705	3	10
1784718706	2	10
1784718707	2	10
1784718708	2	9
1784718709	2	10
1784718710	3	10
1784718711	3	14
1784718712	1	10
1784718713	2	10
1784718714	2	10
1784718715	2	9
1784718716	1	10
1784718717	3	10
1784718718	2	9
1784718719	2	9
1784718720	2	10
1784718721	1	11
1784718722	2	10
1784718723	2	9
1784718724	2	9
1784718725	2	9
1784718726	3	10
1784718727	2	10
1784718728	2	10
1784718729	2	10
1784718730	2	10
1784718731	2	10
1784718732	1	9
1784718733	2	10
1784718734	4	14
1784718735	4	23
1784718736	2	17
1784718737	2	10
